chromosome,start,end,y
1,9712668,9714644,1.9013998
1,9714645,9789083,3.7981
1,9789084,9789172,36.87225
1,9789173,9884584,69.9464
1,9908334,9970394,6.29266
1,9982173,10003465,13.0101
1,10003486,10045559,3.22454
1,10057264,10076078,6.05979
1,10092890,10241297,9.6937
1,10270863,10441661,5.78598
1,10458649,10480201,51.3457
1,10490159,10509775,11.75
1,10509776,10511959,6.496695
1,10511960,10512210,11.75
1,10516579,10532344,11.7047
1,10532345,10532583,9.606765
1,10532584,10690815,7.50883
1,10696661,10856707,5.6823
1,11006528,11042094,0.0122741
1,11072414,11085796,46.5752
1,11086580,11107290,1.20213
1,11114641,11120081,24.3344
1,11126675,11159938,29.9203
1,11166592,11249397,13.7823
1,11249398,11256038,6.89306405
1,11256039,11322564,13.7823
1,11333263,11356106,6.08241
1,11539223,11597641,0.036243
1,11708424,11714431,6.77566
1,11714432,11715842,7.148505
1,11715843,11723384,7.52135
1,11724181,11734411,2.62092
1,11734537,11751707,11.5212
1,11751786,11785914,0.489826
1,11796141,11814859,14.9197
1,11821844,11845779,0.0109837
1,11845780,11849642,0.95556685
1,11849643,11866206,1.90015
1,11866207,11866977,3.573835
1,11866978,11903201,5.24752
1,11905766,11908402,0.225996
1,11917521,11918988,0.135793
1,11979648,11986485,21.3908
1,11994262,12035595,141.074
1,12040238,12073571,25.0403
1,12079523,12092102,13.4933
1,12123434,12204264,0
1,12227060,12269285,1.51054
1,12290124,12572099,4.84365
1,12627939,12677737,12.2797
1,12704566,12727097,0.0054395
1,12776118,12788726,0.0042318
1,12806163,12823847,0
1,12834984,12838049,0
1,12851546,12856777,0
1,12884468,12891264,0
1,12907261,12908578,0.115983
1,12916941,12921764,0
1,12939045,12946025,0
1,12952727,12958101,0
1,12976450,12980569,0
1,12998181,13035542,0
1,13035543,13038381,0
1,13038382,13052393,0
1,13052394,13052998,0
1,13052999,13117751,0
1,13216356,13219581,0
1,13328196,13331692,0
1,13359819,13369057,0
1,13386646,13390765,0
1,13421176,13428191,0
1,13447414,13452656,0
1,13474689,13477522,0
1,13495254,13498260,0
1,13516066,13526943,0
1,13641973,13648988,0
1,13668269,13673511,0
1,13694889,13698405,0
1,13716092,13719089,0
1,13736907,13747803,0
1,13801445,13840543,0
1,13909960,13944452,0
1,14026693,14151574,4.18435
1,14925200,15444539,4.13951
1,15479028,15490839,13.9257
1,15490840,15497813,6.9781761
1,15497814,15546976,13.9257
1,15573768,15726779,0.233712
1,15736391,15756839,25.3295
1,15764935,15775737,0
1,15783223,15792403,0.0280895
1,15792404,15798586,0.02626045
1,15798587,15817326,0.0244314
1,15817327,15817895,1.0150057
1,15817896,15853029,2.00558
1,15853308,15898847,4.16246
1,15898848,15911605,2.359366
1,15911606,15918874,4.16246
1,15943995,15995539,6.88442
1,16010827,16061264,16.2959
1,16062900,16067891,0.462407
1,16068917,16074477,0.0056364
1,16083102,16113089,18.9385
1,16174359,16266955,21.044
1,16268364,16302627,6.29615
1,16330731,16335302,0
1,16340523,16345369,0.0743106
1,16345370,16346089,0.08028755
1,16346090,16360545,0.0862645
1,16370272,16383803,0.0620818
1,16384264,16400127,1.15842
1,16450832,16482582,43.2629
1,16524349,16539104,12.0424
1,16555368,16556038,0.169986
1,16558195,16563657,1.05358
1,16573334,16678949,3.94702
1,16679070,16713611,20.4941
1,16713612,16724640,10.2517112
1,16724641,16763919,0.0093224
1,16767167,16786573,16.6786
1,16865561,16866070,0
1,16888814,16940057,6.42617
1,16999498,17000007,0
1,17060447,17060956,0
1,17066768,17299474,4.56376
1,17300997,17307330,3.34169
1,17312453,17338423,15.5386
1,17345217,17380665,25.9211
1,17393256,17445948,8.45596
1,17531621,17572500,0.958129
1,17575593,17610728,0.368052
1,17634690,17655506,0.0057673
1,17655507,17676070,0.00288365
1,17676071,17690499,0.0057673
1,17733256,17766220,64.2239
1,17866330,18024369,2.94456
1,18081808,18153558,0.211765
1,18434240,18704977,0.022005
1,18807424,18812478,0
1,18957500,19075360,0.0040713
1,19166093,19186176,0
1,19197926,19229275,6.26223
1,19230775,19283180,15.8775
1,19401000,19536770,26.9769
1,19542158,19578032,19.2163
1,19578033,19578046,23.3561
1,19578047,19586622,27.4959
1,19609052,19615744,0.536082
1,19630459,19638640,12.3729
1,19638820,19655794,3.84348
1,19665267,19812066,37.0789
1,19923477,19956314,6.62078
1,19967048,19984945,16.845
1,19991780,20006055,0.0043182
1,20008706,20126438,1.76037
1,20140523,20141771,1.37141
1,20209006,20239438,15.076
1,20246502,20250110,0
1,20301925,20306932,0.0517974
1,20354672,20417683,0.0131451
1,20438432,20446050,0
1,20465819,20476879,0.0062925
1,20487746,20503917,0
1,20512578,20522541,0.0107649
1,20617412,20681387,0.0067173
1,20808884,20812713,6.66709
1,20825943,20834654,25.5471
1,20878932,20881512,0.477989
1,20915441,20945401,27.6858
1,20959948,20978004,11.7638
1,20978270,20988000,206.906
1,20990507,21044510,1.3493
1,21046225,21059330,1.35395
1,21069154,21113816,65.2361
1,21132963,21503377,18.1008
1,21543740,21671997,82.3462
1,21766621,21811498,3.05406
1,21835858,21904905,23.2175
1,21922708,21995801,2.63691
1,22004791,22110099,14.7355
1,22138758,22148737,0.086794
1,22148738,22151714,12.465097
1,22151715,22263790,24.8434
1,22303514,22325135,0.0055596
1,22328149,22339032,0
1,22379120,22419437,63.0252
1,22443798,22470462,1.00113
1,22778344,22857650,14.665
1,22890057,22930087,0.0319794
1,22962999,22966101,0
1,22970123,22974603,0.0064174
1,22979255,22988031,0
1,23037332,23241818,5.43759
1,23279536,23291831,0.0052208
1,23337327,23342343,0.070339
1,23345941,23410182,28.102
1,23410516,23504301,10.1256
1,23516993,23521222,3.20559
1,23630264,23670829,19.7158
1,23685941,23695489,5.52754
1,23695490,23695935,3.0533685
1,23695936,23698332,0.579197
1,23707554,23751233,0.178371
1,23755056,23811061,4.00743
1,23832922,23857712,10.0085
1,23884409,23886285,60.2476
1,23907985,23967058,0.011999
1,24018269,24022915,99.2633
1,24069645,24088549,15.2936
1,24104895,24114722,14.5871
1,24117460,24122029,14.1423
1,24122089,24127271,9.31896
1,24128375,24165110,3.91828
1,24171567,24194784,5.61248
1,24197016,24285549,0.0125344
1,24285599,24289952,3.1977
1,24291294,24307417,9.36109
1,24382525,24438665,0.0125975
1,24446261,24469611,1.34725
1,24480647,24514449,3.28909
1,24645812,24683488,1.6136
1,24683489,24690972,1.479195
1,24690973,24742283,1.34479
1,24742284,24743424,2.014695
1,24743425,24799466,2.6846
1,24829387,24867530,4.23928
1,24882602,24935819,0.122627
1,24958207,24999758,17.4033
1,25071848,25170815,27.3925
1,25226002,25291612,10.5375
1,25549170,25558993,9.49012
1,25568728,25598883,8.86374
1,25598884,25656936,4.4650337
1,25656937,25664407,8.86374
1,25664408,25664704,19.32612
1,25664705,25688739,29.7885
1,25688740,25688852,15.009854
1,25688853,25756683,0.231208
1,25757388,25826700,7.06476
1,25870071,25895377,7.24498
1,25943959,26112698,0.0693823
1,26126667,26144713,18.4537
1,26145131,26145211,3.77092
1,26145212,26147288,1.943347
1,26147289,26158413,3.77092
1,26158414,26159432,5.37554
1,26159433,26185903,6.98016
1,26187701,26197744,4.17778
1,26210672,26233482,49.8715
1,26286258,26324648,3.53638
1,26346375,26362955,0.0188832
1,26363743,26372624,0.191037
1,26377795,26394927,0
1,26437664,26452034,3.60141
1,26485511,26489119,0.0224863
1,26496362,26498551,0.323653
1,26503894,26516377,11.2751
1,26517052,26529459,0.012661
1,26560691,26605299,20.7164
1,26605667,26607818,29.3797
1,26607819,26608007,17.34065
1,26608008,26644447,5.3016
1,26644448,26644854,2.6508
1,26644855,26647014,0
1,26648350,26680621,0.598356
1,26688125,26701013,0.0108037
1,26737269,26756213,0.0085502
1,26758773,26797785,8.8103
1,26798941,26802463,161.498
1,26856252,26901521,15.8673
1,27022524,27108595,14.7199
1,27113963,27124889,3.74661
1,27153201,27184093,8.62561
1,27189633,27190947,168.03
1,27202624,27216788,6.63893
1,27216979,27226728,5.70876
1,27226729,27226957,25.86803
1,27226958,27237979,46.0273
1,27237980,27240457,23.03958905
1,27240458,27273353,46.0273
1,27276053,27286897,9.15501
1,27320198,27327389,1.28336
1,27331511,27339327,4.83357
1,27425306,27493472,7.44789
1,27561007,27635110,7.49036
1,27648651,27662891,8.28563
1,27668513,27680421,6.39893
1,27681675,27693383,13.5677
1,27695603,27701315,0.274486
1,27705666,27709870,0.62964
1,27719148,27722318,1.53928
1,27730730,27816669,32.3247
1,27860546,27930942,8.64271
1,27938575,27961788,0.0172628
1,27992572,27998729,136.314
1,28052490,28089633,3.28123
1,28099694,28150963,8.2688
1,28157289,28178187,18.6552
1,28199055,28213196,4.89189
1,28218035,28241257,25.4346
1,28261504,28285668,9.8003
1,28285973,28294607,3.12774
1,28296855,28415207,5.61902
1,28473677,28520447,2.66522
1,28525967,28527012,34.0606
1,28527013,28527152,17.0303
1,28527153,28559536,34.0606
1,28562620,28573417,10.1652
1,28586038,28609002,5.14583
1,28655513,28662476,5.47933
1,28696114,28826881,14.5781
1,28832455,28865812,42.3596
1,28879597,28905051,5.2463
1,28915835,28918711,11.4854
1,28918712,28921955,5.78789445
1,28921956,28969597,11.4854
1,28995244,29045865,2.40081
1,29063133,29096287,25.1069
1,29138654,29190208,0.376691
1,29213603,29445939,3.83227
1,29445940,29446553,2.2524805
1,29446554,29450447,0.672691
1,29474255,29508499,34.013
1,29519385,29557454,5.2994
1,29563028,29653325,14.079
1,31184124,31196434,0.368144
1,31205316,31230667,0.675126
1,31342314,31381608,5.36926
1,31404353,31538838,19.9616
1,31652592,31712401,0.162187
1,31732417,31769662,11.1539
1,31769842,31837783,15.1324
1,31838472,31849697,0.258856
1,31882412,31902191,7.9865
1,31902192,31902614,4.359113
1,31902615,31907525,7.9865
1,32042116,32053288,15.6814
1,32083287,32095462,0.0138071
1,32095463,32098119,8.57920355
1,32098120,32110497,17.1446
1,32117848,32169920,3.87682
1,32192718,32230494,5.35857
1,32256023,32281652,2.08112
1,32372022,32379173,34.663
1,32379174,32380745,17.735831
1,32380746,32410457,34.663
1,32479430,32526451,37.0843
1,32537632,32568467,7.18228
1,32573639,32642169,14.5839
1,32645287,32663886,25.1277
1,32665987,32670988,2.09321
1,32671236,32674288,4.41751
1,32674695,32680072,0.056438
1,32680073,32681797,0.853294
1,32681798,32687528,1.65015
1,32687529,32687972,52.033075
1,32687973,32697205,102.416
1,32712834,32714457,1.50111
1,32716840,32751766,4.00446
1,32757687,32799236,94.2272
1,32799433,32801980,43.8904
1,32817122,32826870,3.14428
1,32826871,32829879,1.9992485
1,32829880,32829913,3.14428
1,32830704,32860332,12.6443
1,32930670,32962287,0.0600792
1,33005028,33065772,2.81518
1,33065773,33071540,4.818405
1,33071541,33116504,6.82163
1,33116743,33145506,19.8516
1,33145507,33151812,9.99074
1,33151813,33169197,0.12988
1,33207486,33240571,40.2982
1,33240840,33282367,13.5187
1,33282368,33283754,9.986405
1,33283755,33324476,6.45411
1,33327869,33338083,0.0927964
1,33351595,33360194,0.0196498
1,33360195,33364042,6.1423749
1,33364043,33367039,12.2651
1,33402046,33430286,10.714
1,33439268,33439642,0.205615
1,33473585,33546597,24.5963
1,33546705,33586131,0.560355
1,33611003,33647660,3.33669
1,33722146,33766320,7.82006
1,33772367,33786699,0
1,33789224,33896653,10.1625
1,33938246,33962107,1.49298
1,33979609,34326075,0.0033047
1,34326076,34330392,0.00165235
1,34330393,34631443,0.0033047
1,34632484,34684732,0
1,35178338,35220647,4.12852
1,35220648,35224113,2.336137
1,35224114,35225341,4.12852
1,35225342,35229325,2.14133
1,35229326,35246789,4.12852
1,35246790,35251970,9.43996
1,35251971,35258598,4.12852
1,35258599,35261348,2.1091672
1,35261349,35325417,4.12852
1,35331037,35395186,0.0452384
1,35447134,35447135,3.42477
1,35447136,35449522,8.522285
1,35449523,35450954,6.82311333333333
1,35450955,35497342,3.42477
1,35497343,35497569,3.42477
1,35525387,35581460,6.87264
1,35641979,35658749,55.1036
1,35734568,35887659,9.80673
1,35899091,36023073,10.6675
1,36023074,36023551,9.97351
1,36023552,36032875,9.27952
1,36038971,36060929,1.06989
1,36067185,36107445,48.8092
1,36179476,36185073,5.65881
1,36185819,36235568,16.5872
1,36273773,36323491,2.65731
1,36335409,36395211,4.50238
1,36396319,36538101,2.40963
1,36549676,36553876,0.220896
1,36554476,36559533,15.4396
1,36560837,36590821,0.0293526
1,36602173,36615098,15.5184
1,36621180,36646450,23.5792
1,36690017,36770958,41.0203
1,36771988,36787631,5.78767
1,36787632,36789334,4.189505
1,36789335,36789755,4.22831333333333
1,36789756,36790484,5.0468
1,36790485,36794822,4.30593
1,36805225,36851497,6.02469
1,36856839,36863493,8.53866
1,36881428,36916086,0.377969
1,36921319,36930038,14.8282
1,36931644,36948879,0
1,37261128,37499730,0.0093206
1,37940153,37949980,14.7032
1,37958176,37980375,12.9038
1,38000050,38019903,4.45366
1,38022520,38032416,0.0097047
1,38032417,38032458,9.22410235
1,38032459,38061536,18.4385
1,38076951,38100595,0.0894686
1,38147242,38157914,9.07091
1,38158090,38175391,23.8038
1,38179552,38230805,1.29078
1,38259474,38266809,1.85908
1,38268616,38272650,16.6142
1,38272651,38273857,11.00366
1,38273858,38275126,5.39312
1,38275239,38292231,5.98451
1,38292232,38293886,2.992255
1,38293887,38325292,5.98451
1,38326369,38412729,1.68801
1,38422647,38456593,23.4227
1,38462442,38471278,5.18997
1,38474930,38490496,15.983
1,38509523,38512450,0.0292599
1,39303870,39325495,4.61278
1,39328636,39330174,8.09019
1,39330175,39347289,4.045095
1,39351479,39407471,1.39881
1,39456895,39471731,23.564
1,39491990,39500308,76.2145
1,39546988,39876150,12.2706
1,39876151,39882154,8.75421
1,39882155,39952849,12.2706
1,39957318,39991607,0.402527
1,40026488,40042462,48.8044
1,40089825,40105617,4.75199
1,40124793,40137710,0
1,40144320,40157361,0.448125
1,40157854,40222853,6.65865
1,40222854,40229586,4.57872
1,40229587,40235194,2.49879
1,40235195,40237020,1.800685
1,40237021,40254533,2.49879
1,40306723,40349183,8.31298
1,40361098,40367928,1.01802
1,40420802,40435638,1.11093
1,40505905,40538321,69.7558
1,40538379,40563375,51.6138
1,40627045,40706593,6.91721
1,40711619,40717363,0.038548
1,40723779,40759856,43.9272
1,40766159,40783488,1.18212
1,40810522,40888998,4.62275
1,40915774,40929390,1.13337
1,40942887,40962015,1.40326
1,40974413,40982228,4.42595
1,40997233,41013841,1.22068
1,41086351,41131329,2.24869
1,41157320,41237275,8.54235
1,41249684,41306124,0.118791
1,41326729,41328018,3.84532
1,41445007,41478235,22.2043
1,41481269,41488909,1.64587
1,41492872,41707826,5.52915
1,41827594,41849262,0.689528
1,41944446,41950344,2.10131
1,41972036,42501596,1.3811
1,42619092,42621495,0
1,42628362,42630389,0
1,42642210,42801548,12.2811
1,42846466,42888249,0.460751
1,42896000,42921787,0.243103
1,42921788,42921938,6.1782515
1,42921939,42929000,12.1134
1,42929001,42939056,6.1728765
1,42939057,43120335,0.232353
1,43124096,43142429,9.27607
1,43148098,43168020,196.457
1,43198764,43205925,0.0261633
1,43212006,43232755,7.5441
1,43232940,43263968,1.26695
1,43272723,43282794,3.41234
1,43282795,43282954,2.547395
1,43282955,43310660,1.68245
1,43312280,43318148,2.8691
1,43391052,43424530,28.9696
1,43610824,43622067,0.587408
1,43629846,43637819,36.0549
1,43637820,43720029,18.0473908
1,43720030,43735664,36.0549
1,43735665,43736607,22.784375
1,43736608,43739673,9.51385
1,43747554,43751288,4.3119
1,43766664,43788779,0.0191977
1,43803478,43818443,0.0724677
1,43824626,43828874,79.8087
1,43829068,43833696,20.8083
1,43849588,43855479,13.8575
1,43855553,43916823,5.30473
1,43916824,43918321,3.099559
1,43918322,43919660,0.894388
1,43990858,44089343,54.2547
1,44115829,44171186,11.5571
1,44171495,44396831,2.57484
1,44398992,44402913,4.3191
1,44412611,44433694,9.31733
1,44435672,44439041,21.2998
1,44440159,44443967,28.1506
1,44444615,44456840,13.6424
1,44457031,44457171,8.12147
1,44457172,44462200,9.203935
1,44462201,44497139,10.2864
1,44584522,44600812,1.546
1,44679127,44686353,10.1479
1,44686742,44820932,14.1017
1,44870866,45100909,5.68538
1,45100910,45117396,3.68811
1,45117397,45140227,1.69084
1,45140364,45191263,0.706365
1,45205490,45233439,30.2918
1,45240923,45244451,130.903
1,45249257,45253377,0.0376676
1,45265897,45271584,2.22432
1,45271585,45271662,1.1554656
1,45271663,45272957,0.0866112
1,45274154,45281257,0.172871
1,45285516,45308735,0.289321
1,45316450,45452282,11.1222
1,45468212,45477001,4.91054
1,45477819,45481247,7.97513
1,45482071,45771881,0.942317
1,45792545,45794347,5.78756
1,45794835,45805341,6.74881
1,45805342,45806142,7.60794
1,45806143,45809554,8.46707
1,45809555,45809647,5.304765
1,45809648,45956872,2.14246
1,45959538,45965724,2.01786
1,45965725,45965751,2.713885
1,45965752,45976707,3.40991
1,45976708,45976739,94.611455
1,45976740,45988719,185.813
1,46016215,46035721,22.578
1,46049518,46084566,45.756
1,46085716,46089729,1.05908
1,46092976,46152885,17.9043
1,46152886,46153785,16.3722
1,46153786,46159995,14.8401
1,46159996,46160115,8.90636
1,46160116,46216322,2.97262
1,46252659,46501796,20.0014
1,46505812,46640744,7.1573
1,46640745,46642160,8.04878
1,46642161,46651630,8.94026
1,46654354,46669005,11.9244
1,46669006,46685977,5.96903745
1,46685978,46686933,0.0136749
1,46713360,46726867,10.0366
1,46726868,46744145,6.664425
1,46744146,46769280,3.29225
1,46769303,46782448,48.118
1,46805849,46830824,4.84313
1,46859937,46879520,9.44995
1,46972668,46979898,1.24545
1,47011316,47017199,0.015648
1,47023090,47073386,11.9335
1,47073387,47082515,7.50895
1,47082516,47082563,3.0844
1,47098409,47124365,5.76882
1,47124366,47134526,12.16586
1,47134527,47139266,8.121966
1,47139267,47139539,12.16586
1,47139540,47184824,18.5629
1,47223510,47285085,0.203548
1,47394849,47407156,0.0044048
1,47427036,47516423,0.442784
1,47533160,47583991,0.0901369
1,47603107,47615413,0.005834
1,47649265,47656716,8.4958
1,47681962,47697892,0.019387
1,47715811,47779819,15.4594
1,47799469,47844511,35.2143
1,47881744,47883723,0
1,47901689,47906363,0.390339
1,48226200,48462567,0.0027133
1,48569306,48569878,0
1,48688357,48714316,0.009506
1,48761044,48937845,0.262339
1,48998527,49193194,0
1,49193195,49242641,0
1,49242642,50459989,0
1,50459990,50461874,0
1,50461875,50489585,0
1,50513686,50669458,0.0111167
1,50883222,50889172,0.103604
1,50905150,51425935,12.0688
1,51426417,51440305,3.64329
1,51567906,51613752,0
1,51701943,51739127,26.1519
1,51752930,51810788,0.608523
1,51819935,51985000,7.80835
1,52042851,52254862,13.2975
1,52254863,52254889,23.21725
1,52254890,52344477,33.137
1,52373628,52456436,1.73961
1,52485803,52497774,16.8636
1,52497775,52499488,12.2066
1,52499489,52521796,16.8636
1,52521797,52521843,14.0979
1,52521844,52556388,11.3322
1,52608046,52811394,3.69495
1,52811395,52812358,4.068995
1,52812359,52831865,4.44304
1,52838501,52870131,10.0409
1,52870236,52873953,12.9297
1,52873954,52886511,10.656865
1,52886512,53019159,8.38403
1,53068044,53074723,2.80679
1,53099016,53135355,0.0170799
1,53152508,53164038,20.138
1,53192126,53293014,4.50328
1,53308183,53360670,2.17514
1,53361656,53392884,5.29828
1,53392901,53517375,6.54549
1,53527854,53551174,0.0063887
1,53552855,53608289,0.0042613
1,53662101,53679770,3.43247
1,53679771,53679869,9.073785
1,53679870,53686289,14.7151
1,53692564,53704282,22.3441
1,53711217,53793742,10.1826
1,53925072,53933161,0
1,53971910,54199877,0.0091401
1,54231133,54304533,21.988
1,54317392,54356407,6.95168
1,54356912,54376759,0.0689367
1,54382247,54411602,5.71594
1,54411750,54433841,17.927
1,54474412,54483856,0
1,54497347,54519177,19.2743
1,54519260,54569967,3.03287
1,54569968,54571750,2.16511
1,54571751,54578192,3.03287
1,54598747,54619443,0.0082299
1,54635333,54637997,4.21453
1,54638009,54649713,3.80815
1,54649714,54665709,18.404825
1,54665710,54691104,33.0015
1,54691105,54691137,19.64203
1,54691138,54703709,6.28256
1,54703710,54704736,3.285268
1,54704737,54879152,6.28256
1,55007930,55074854,0.51263
1,55074855,55089229,0.29760315
1,55089230,55104865,0.51263
1,55107463,55175939,0.0579753
1,55181495,55208330,14.0272
1,55222571,55230187,2.43841
1,55245385,55266940,2.17512
1,55271736,55307925,0.0964243
1,55315306,55352891,74.5461
1,55446465,55457966,0.128061
1,55464606,55476556,0.0024675
1,55505221,55530525,1.51998
1,55532032,55680786,9.63791
1,56960419,57110974,3.20585
1,57110995,57181008,0.890001
1,57184477,57285369,0.161686
1,57320479,57383894,0
1,57394883,57431813,0
1,57460451,58881055,0.00459
1,58881056,59012406,1.265975
1,59012407,59012474,2.52736
1,59041099,59043166,225.161
1,59120411,59165764,11.6729
1,59246465,59249785,54.0145
1,59762310,60233347,0.871893
1,60280458,60342050,5.97645
1,60358980,60392462,1.30372
1,60452941,60539442,0
1,61330931,61928465,2.79824
1,62146718,62191095,5.08855
1,62208149,62629592,9.37003
1,62660503,62678000,0.03437
1,62702651,62785085,0.128939
1,62901968,62917475,30.3925
1,62920399,63063157,2.81138
1,63063158,63071830,1.4109622
1,63071831,63073436,2.81138
1,63073437,63075249,1.40569
1,63075250,63153969,2.81138
1,63249806,63331184,2.76302
1,63788730,63790797,0.163273
1,63833261,63904233,6.27922
1,63906441,63989042,7.33171
1,63989043,64014587,4.46217
1,64014588,64015405,3.19414166666667
1,64015406,64038364,4.46217
1,64038365,64058946,7.33171
1,64058947,64059392,10.074255
1,64059393,64125916,12.8168
1,64239693,64647181,2.88877
1,64669310,64733051,0.0187673
1,64936428,65158741,7.81938
1,65210778,65298911,5.3189
1,65298912,65298915,19.5172
1,65298916,65432187,33.7155
1,65613232,65697828,5.38141
1,65713902,65881552,5.64444
1,65886248,65886269,3.12259
1,65886270,65901690,11.044195
1,65901691,66107242,3.12259
1,66258197,66840259,1.14302
1,66999066,67131546,0.0008183
1,67131547,67142710,0.00797745
1,67142711,67213982,0.0008183
1,67218142,67244470,0.0032293
1,67263424,67266939,0
1,67278568,67390570,0.55519
1,67390578,67454302,4.2386
1,67465015,67519782,1.77717
1,67557848,67632082,0
1,67632083,67697536,0
1,67697537,67725662,0
1,67773047,67862583,0.244895
1,67873493,67896098,42.6099
1,68150744,68154021,61.1595
1,68167149,68299150,41.1934
1,68511645,68517314,0.251851
1,68564142,68698803,4.39653
1,68894505,68915642,0.0196949
1,68939835,68962904,12.1611
1,70034081,70610487,0.0433074
1,70610488,70617628,4.5696887
1,70617629,70671303,9.09607
1,70671365,70718735,39.3972
1,70726271,70820417,9.27953
1,70820488,70851022,3.6737
1,70876901,70905534,1.71062
1,71318036,71513491,0.0199401
1,71528974,71546980,20.8282
1,71861623,72748417,1.19037
1,74491699,74663871,0.172147
1,74663896,74663946,3.84961
1,74663947,74699770,1.980264
1,74699771,74935561,0.110918
1,74935562,74978298,0.0576791
1,74978299,75010112,0.110918
1,75033795,75139422,0.0031813
1,75171170,75198835,3.91398
1,75198836,75199092,4.37643
1,75199093,75232362,4.83888
1,75594119,75627218,0
1,75667816,76076801,0.0149256
1,76190036,76251878,12.6426
1,76251879,76253260,20.5572
